Movie Name,Genre,Ratings,Voting Counts,Duration
Maternal Instinct,"Crime,Documentary",7.2,12718,94
Uttar Da Puttar,"Comedy,Drama",8.1,12665,103
Reminders of Him,"Drama,Romance",6.3,12631,114
Jackass: Best and Last,"Comedy,Documentary",6.2,12534,92
Awarapan 2,"Action,Drama,Romance",6.4,12526,140
Outcome,"Comedy,Crime,Drama",4.5,12251,83
Deep Water,"Action,Drama,Horror",5.4,12212,106
The Raja Saab,"Action,Comedy,Fantasy",3.1,12109,190
Karuppu,"Action,Comedy,Drama",6.1,11572,150
Pizza Movie,Comedy,5.9,11346,97
Mardaani 3,"Action,Crime,Drama",6.0,11171,129
One Night Only,"Comedy,Romance",6.1,11138,102
The Dink,"Comedy,Romance,Sport",6.1,11064,102
Faces of Death,Horror,5.8,10659,97
Dulhaniya Le Aaeegi,Comedy,7.6,10590,127
Mother Mary,"Drama,Music,Thriller",5.4,10538,111
Dacoit: A Love Story,"Action,Drama,Romance",7.4,10252,149
Teenage Sex and Death at Camp Miasma,"Comedy,Horror,Romance",7.2,10040,112
Roommates,Comedy,5.7,9916,107
Hanuman Ansh,"Biography,Drama",8.8,9874,150
Johnny Jumper,"Drama,Thriller",5.8,9809,104
Tony,"Biography,Comedy,Drama",7.5,9556,106
Peddi,"Action,Drama,Romance",5.2,9291,182
Pati Patni Aur Woh Do,"Comedy,Drama,Romance",5.7,9082,117
Youth,"Comedy,Family,Romance",7.0,8993,140
Gandhari,"Action,Drama,Thriller",5.1,8951,116
Cheekatilo,"Crime,Drama,Thriller",5.5,8898,126
I Love Boosters,"Adventure,Comedy,Crime",6.6,8729,113
Heartstopper Forever,"Drama,Romance",6.9,8532,114
Mandaadi,"Action,Drama,Sport",9.3,8481,154
Parasakthi,"Action,Drama,History",6.4,8464,161
The Strangers: Chapter 3,Horror,4.2,8462,91
Don't Say Good Luck,"Drama,Musical",6.8,8235,95
Power Ballad,"Comedy,Drama,Music",6.7,8085,98
Khalifa,"Action,Crime,Drama",6.7,8027,159
Bharat Bhhagya Viddhaata,"Drama,Thriller",6.4,8001,125
Sambhavam Adhyayam Onnu,Thriller,7.3,7910,129
In the Blink of an Eye,"Drama,Sci-Fi",6.1,7812,94
Facing El Chapo,"Action,Crime,Thriller",6.7,7777,91
Maa Inti Bangaram,"Action,Drama,Family",7.3,7671,154
Chand Mera Dil,"Drama,Music,Romance",6.2,7579,135
DC,"Action,Crime,Drama",7.9,7533,141
The Kerala Story 2 Goes Beyond,"Drama,Thriller",5.8,7502,131
Tom & Cherry,"Comedy,Drama,Family",9.0,7474,126
Vaazha II: Biopic of a Billion Bros,"Comedy,Drama",8.0,7460,160
Tu Yaa Main,"Action,Drama,Horror",6.1,7425,143
Batman: Knightfall - Part 1: Knightfall,"Action,Adventure,Animation",7.8,7306,78
Soulm8te,"Horror,Sci-Fi,Thriller",5.8,7203,99
Psycho Killer,"Crime,Drama,Horror",4.7,7203,91
Is God Is,"Drama,Mystery,Thriller",6.5,7188,100
Leader,"Action,Crime,Drama",7.5,7176,136
Rao Bahadur,"Drama,Horror,Mystery",8.4,7145,145
Forbidden Fruits,"Comedy,Horror",5.2,7065,103
Masthishka Maranam,"Comedy,Sci-Fi,Thriller",6.3,7041,147
Buddy,"Fantasy,Horror,Thriller",7.1,6971,96
With Love,"Comedy,Drama,Romance",7.6,6925,141
Bhootam Bhayyam,"Comedy,Horror",5.1,6877,163
Hope,"Action,Drama,Horror",6.9,6622,160
